SystemCodeNumber,Capacity,Occupancy,LastUpdated
BHMBCCMKT01,577,209,09-10-2016 14:30
BHMBCCMKT01,577,191,09-10-2016 15:04
BHMBCCMKT01,577,180,09-10-2016 15:30
BHMBCCMKT01,577,155,09-10-2016 16:03
BHMBCCMKT01,577,133,09-10-2016 16:30
BHMBCCMKT01,577,54,10-10-2016 08:04
BHMBCCMKT01,577,56,10-10-2016 08:30
BHMBCCMKT01,577,65,10-10-2016 09:04
BHMBCCMKT01,577,73,10-10-2016 09:30
BHMBCCMKT01,577,92,10-10-2016 10:03
BHMBCCMKT01,577,113,10-10-2016 10:30
BHMBCCMKT01,577,144,10-10-2016 10:57
BHMBCCMKT01,577,149,10-10-2016 11:30
BHMBCCMKT01,577,159,10-10-2016 11:57
BHMBCCMKT01,577,171,10-10-2016 12:30
BHMBCCMKT01,577,176,10-10-2016 13:04
BHMBCCMKT01,577,172,10-10-2016 13:30
BHMBCCMKT01,577,161,10-10-2016 14:03
BHMBCCMKT01,577,154,10-10-2016 14:30
BHMBCCMKT01,577,137,10-10-2016 14:57
BHMBCCMKT01,577,129,10-10-2016 15:30
BHMBCCMKT01,577,130,10-10-2016 15:57
BHMBCCMKT01,577,114,10-10-2016 16:30
BHMBCCMKT01,577,56,11-10-2016 08:04
BHMBCCMKT01,577,64,11-10-2016 08:30
BHMBCCMKT01,577,74,11-10-2016 08:57
BHMBCCMKT01,577,93,11-10-2016 09:30
BHMBCCMKT01,577,129,11-10-2016 09:57
BHMBCCMKT01,577,167,11-10-2016 10:30
BHMBCCMKT01,577,200,11-10-2016 10:57
BHMBCCMKT01,577,219,11-10-2016 11:30
BHMBCCMKT01,577,225,11-10-2016 12:03
BHMBCCMKT01,577,221,11-10-2016 12:30
BHMBCCMKT01,577,217,11-10-2016 13:04
BHMBCCMKT01,577,217,11-10-2016 13:31
BHMBCCMKT01,577,208,11-10-2016 14:04
BHMBCCMKT01,577,191,11-10-2016 14:30
BHMBCCMKT01,577,167,11-10-2016 15:03
BHMBCCMKT01,577,159,11-10-2016 15:33
BHMBCCMKT01,577,150,11-10-2016 16:01
BHMBCCMKT01,577,127,11-10-2016 16:26
BHMBCCMKT01,577,51,12-10-2016 08:04
BHMBCCMKT01,577,57,12-10-2016 08:31
BHMBCCMKT01,577,64,12-10-2016 09:03
BHMBCCMKT01,577,73,12-10-2016 09:26
BHMBCCMKT01,577,99,12-10-2016 10:01
BHMBCCMKT01,577,112,12-10-2016 10:31
BHMBCCMKT01,577,127,12-10-2016 11:04
BHMBCCMKT01,577,128,12-10-2016 11:31
BHMBCCMKT01,577,143,12-10-2016 12:04
BHMBCCMKT01,577,158,12-10-2016 12:31
BHMBCCMKT01,577,157,12-10-2016 13:04
BHMBCCMKT01,577,164,12-10-2016 13:34
BHMBCCMKT01,577,167,12-10-2016 14:03
BHMBCCMKT01,577,159,12-10-2016 14:34
BHMBCCMKT01,577,140,12-10-2016 15:01
BHMBCCMKT01,577,128,12-10-2016 15:30
BHMBCCMKT01,577,121,12-10-2016 15:57
BHMBCCMKT01,577,111,12-10-2016 16:31
BHMBCCMKT01,577,58,13-10-2016 07:57
BHMBCCMKT01,577,65,13-10-2016 08:31
BHMBCCMKT01,577,76,13-10-2016 09:04
BHMBCCMKT01,577,97,13-10-2016 09:31
BHMBCCMKT01,577,127,13-10-2016 09:57
BHMBCCMKT01,577,166,13-10-2016 10:31
BHMBCCMKT01,577,200,13-10-2016 11:04
BHMBCCMKT01,577,220,13-10-2016 11:31
BHMBCCMKT01,577,230,13-10-2016 11:57
BHMBCCMKT01,577,231,13-10-2016 12:31
BHMBCCMKT01,577,214,13-10-2016 13:04
BHMBCCMKT01,577,203,13-10-2016 13:31
BHMBCCMKT01,577,205,13-10-2016 13:57
BHMBCCMKT01,577,181,13-10-2016 14:31
BHMBCCMKT01,577,162,13-10-2016 15:04
BHMBCCMKT01,577,144,13-10-2016 15:31
BHMBCCMKT01,577,132,13-10-2016 16:04
BHMBCCMKT01,577,130,13-10-2016 16:31
BHMBCCMKT01,577,53,14-10-2016 08:01
BHMBCCMKT01,577,57,14-10-2016 08:27
BHMBCCMKT01,577,67,14-10-2016 09:01
BHMBCCMKT01,577,100,14-10-2016 09:27
BHMBCCMKT01,577,134,14-10-2016 10:01
BHMBCCMKT01,577,157,14-10-2016 10:27
BHMBCCMKT01,577,205,14-10-2016 11:01
BHMBCCMKT01,577,220,14-10-2016 11:27
BHMBCCMKT01,577,224,14-10-2016 12:01
BHMBCCMKT01,577,213,14-10-2016 12:27
BHMBCCMKT01,577,205,14-10-2016 13:01
BHMBCCMKT01,577,201,14-10-2016 13:27
BHMBCCMKT01,577,182,14-10-2016 14:01
BHMBCCMKT01,577,174,14-10-2016 14:34
BHMBCCMKT01,577,171,14-10-2016 15:01
BHMBCCMKT01,577,161,14-10-2016 15:27
BHMBCCMKT01,577,138,14-10-2016 16:01
BHMBCCMKT01,577,134,14-10-2016 16:34
BHMBCCMKT01,577,53,15-10-2016 08:01
BHMBCCMKT01,577,63,15-10-2016 08:34
BHMBCCMKT01,577,77,15-10-2016 09:01
BHMBCCMKT01,577,101,15-10-2016 09:27
BHMBCCMKT01,577,154,15-10-2016 10:01
BHMBCCMKT01,577,171,15-10-2016 10:27
BHMBCCMKT01,577,211,15-10-2016 11:01
BHMBCCMKT01,577,239,15-10-2016 11:27
BHMBCCMKT01,577,276,15-10-2016 12:01
BHMBCCMKT01,577,297,15-10-2016 12:27
BHMBCCMKT01,577,332,15-10-2016 13:01
BHMBCCMKT01,577,352,15-10-2016 13:34
BHMBCCMKT01,577,391,15-10-2016 14:01
BHMBCCMKT01,577,409,15-10-2016 14:27
BHMBCCMKT01,577,442,15-10-2016 15:01
BHMBCCMKT01,577,428,15-10-2016 15:27
BHMBCCMKT01,577,412,15-10-2016 16:01
BHMBCCMKT01,577,393,15-10-2016 16:27
BHMBCCMKT01,577,48,16-10-2016 08:04
BHMBCCMKT01,577,48,16-10-2016 08:27
BHMBCCMKT01,577,55,16-10-2016 09:01
BHMBCCMKT01,577,57,16-10-2016 09:27
BHMBCCMKT01,577,57,16-10-2016 10:04
BHMBCCMKT01,577,56,16-10-2016 10:34
BHMBCCMKT01,577,56,16-10-2016 11:01
BHMBCCMKT01,577,56,16-10-2016 11:27
BHMBCCMKT01,577,65,16-10-2016 12:01
BHMBCCMKT01,577,105,16-10-2016 12:27
BHMBCCMKT01,577,131,16-10-2016 13:01
BHMBCCMKT01,577,146,16-10-2016 13:27
BHMBCCMKT01,577,170,16-10-2016 14:01
BHMBCCMKT01,577,180,16-10-2016 14:27
BHMBCCMKT01,577,192,16-10-2016 15:01
BHMBCCMKT01,577,185,16-10-2016 15:31
BHMBCCMKT01,577,173,16-10-2016 15:57
BHMBCCMKT01,577,154,16-10-2016 16:31
BHMBCCMKT01,577,50,17-10-2016 08:01
BHMBCCMKT01,577,54,17-10-2016 08:27
BHMBCCMKT01,577,66,17-10-2016 09:01
BHMBCCMKT01,577,76,17-10-2016 09:27
BHMBCCMKT01,577,112,17-10-2016 10:04
BHMBCCMKT01,577,119,17-10-2016 10:31
BHMBCCMKT01,577,144,17-10-2016 11:04
BHMBCCMKT01,577,153,17-10-2016 11:31
BHMBCCMKT01,577,159,17-10-2016 12:04
BHMBCCMKT01,577,154,17-10-2016 12:31
BHMBCCMKT01,577,154,17-10-2016 12:57
BHMBCCMKT01,577,157,17-10-2016 13:31
BHMBCCMKT01,577,161,17-10-2016 14:04
BHMBCCMKT01,577,147,17-10-2016 14:31
BHMBCCMKT01,577,133,17-10-2016 14:57
BHMBCCMKT01,577,121,17-10-2016 15:31
BHMBCCMKT01,577,115,17-10-2016 15:57
BHMBCCMKT01,577,110,17-10-2016 16:28
BHMBCCMKT01,577,57,18-10-2016 08:01
BHMBCCMKT01,577,60,18-10-2016 08:28
BHMBCCMKT01,577,72,18-10-2016 09:01
BHMBCCMKT01,577,91,18-10-2016 09:28
BHMBCCMKT01,577,145,18-10-2016 10:01
BHMBCCMKT01,577,178,18-10-2016 10:28
BHMBCCMKT01,577,220,18-10-2016 11:01
BHMBCCMKT01,577,228,18-10-2016 11:27
BHMBCCMKT01,577,231,18-10-2016 12:01
BHMBCCMKT01,577,224,18-10-2016 12:27
BHMBCCMKT01,577,237,18-10-2016 13:01
BHMBCCMKT01,577,227,18-10-2016 13:28
BHMBCCMKT01,577,226,18-10-2016 13:54
BHMBCCMKT01,577,200,18-10-2016 14:27
BHMBCCMKT01,577,165,18-10-2016 15:01
BHMBCCMKT01,577,157,18-10-2016 15:27
BHMBCCMKT01,577,149,18-10-2016 15:55
BHMBCCMKT01,577,124,18-10-2016 16:27
BHMBCCMKT01,577,49,19-10-2016 08:05
BHMBCCMKT01,577,51,19-10-2016 08:25
BHMBCCMKT01,577,59,19-10-2016 08:58
BHMBCCMKT01,577,76,19-10-2016 09:32
BHMBCCMKT01,577,105,19-10-2016 09:58
BHMBCCMKT01,577,135,19-10-2016 10:25
BHMBCCMKT01,577,156,19-10-2016 10:59
BHMBCCMKT01,577,177,19-10-2016 11:25
BHMBCCMKT01,577,181,19-10-2016 11:59
BHMBCCMKT01,577,171,19-10-2016 12:25
BHMBCCMKT01,577,165,19-10-2016 12:58
BHMBCCMKT01,577,167,19-10-2016 13:25
BHMBCCMKT01,577,161,19-10-2016 13:58
BHMBCCMKT01,577,156,19-10-2016 14:32
BHMBCCMKT01,577,144,19-10-2016 14:58
BHMBCCMKT01,577,127,19-10-2016 15:32
BHMBCCMKT01,577,117,19-10-2016 15:59
BHMBCCMKT01,577,110,19-10-2016 16:25
BHMBCCMKT01,577,57,22-10-2016 07:59
BHMBCCMKT01,577,59,22-10-2016 08:26
BHMBCCMKT01,577,72,22-10-2016 08:59
BHMBCCMKT01,577,93,22-10-2016 09:26
BHMBCCMKT01,577,130,22-10-2016 09:59
BHMBCCMKT01,577,156,22-10-2016 10:26
BHMBCCMKT01,577,198,22-10-2016 10:59
BHMBCCMKT01,577,239,22-10-2016 11:32
BHMBCCMKT01,577,261,22-10-2016 11:59
BHMBCCMKT01,577,324,22-10-2016 12:32
BHMBCCMKT01,577,359,22-10-2016 12:59
BHMBCCMKT01,577,380,22-10-2016 13:32
BHMBCCMKT01,577,408,22-10-2016 13:59
BHMBCCMKT01,577,430,22-10-2016 14:39
BHMBCCMKT01,577,424,22-10-2016 14:59
BHMBCCMKT01,577,403,22-10-2016 15:26
BHMBCCMKT01,577,384,22-10-2016 15:59
BHMBCCMKT01,577,340,22-10-2016 16:26
BHMBCCMKT01,577,47,23-10-2016 07:59
BHMBCCMKT01,577,48,23-10-2016 08:26
BHMBCCMKT01,577,51,23-10-2016 08:59
BHMBCCMKT01,577,50,23-10-2016 09:26
BHMBCCMKT01,577,54,23-10-2016 09:59
BHMBCCMKT01,577,60,23-10-2016 10:26
BHMBCCMKT01,577,80,23-10-2016 10:59
BHMBCCMKT01,577,107,23-10-2016 11:26
BHMBCCMKT01,577,125,23-10-2016 11:59
BHMBCCMKT01,577,144,23-10-2016 12:26
BHMBCCMKT01,577,175,23-10-2016 13:06
BHMBCCMKT01,577,192,23-10-2016 13:26
BHMBCCMKT01,577,215,23-10-2016 13:59
BHMBCCMKT01,577,226,23-10-2016 14:26
BHMBCCMKT01,577,219,23-10-2016 14:59
BHMBCCMKT01,577,215,23-10-2016 15:26
BHMBCCMKT01,577,179,23-10-2016 15:59
BHMBCCMKT01,577,150,23-10-2016 16:26
BHMBCCMKT01,577,47,24-10-2016 07:56
BHMBCCMKT01,577,55,24-10-2016 08:29
BHMBCCMKT01,577,62,24-10-2016 09:03
BHMBCCMKT01,577,73,24-10-2016 09:30
BHMBCCMKT01,577,87,24-10-2016 09:55
BHMBCCMKT01,577,114,24-10-2016 10:30
BHMBCCMKT01,577,137,24-10-2016 11:03
BHMBCCMKT01,577,155,24-10-2016 11:29
BHMBCCMKT01,577,173,24-10-2016 12:02
BHMBCCMKT01,577,191,24-10-2016 12:30
BHMBCCMKT01,577,198,24-10-2016 12:56
BHMBCCMKT01,577,208,24-10-2016 13:30
BHMBCCMKT01,577,219,24-10-2016 13:56
BHMBCCMKT01,577,215,24-10-2016 14:30
BHMBCCMKT01,577,209,24-10-2016 14:56
BHMBCCMKT01,577,209,24-10-2016 15:32
BHMBCCMKT01,577,192,24-10-2016 16:00
BHMBCCMKT01,577,175,24-10-2016 16:33
BHMBCCMKT01,577,54,25-10-2016 08:00
BHMBCCMKT01,577,55,25-10-2016 08:26
BHMBCCMKT01,577,82,25-10-2016 09:00
BHMBCCMKT01,577,95,25-10-2016 09:19
BHMBCCMKT01,577,129,25-10-2016 09:56
BHMBCCMKT01,577,173,25-10-2016 10:29
BHMBCCMKT01,577,202,25-10-2016 10:56
BHMBCCMKT01,577,249,25-10-2016 11:29
BHMBCCMKT01,577,290,25-10-2016 12:02
BHMBCCMKT01,577,303,25-10-2016 12:29
BHMBCCMKT01,577,331,25-10-2016 13:03
BHMBCCMKT01,577,345,25-10-2016 13:29
BHMBCCMKT01,577,363,25-10-2016 13:56
BHMBCCMKT01,577,365,25-10-2016 14:29
BHMBCCMKT01,577,340,25-10-2016 15:02
BHMBCCMKT01,577,302,25-10-2016 15:29
BHMBCCMKT01,577,273,25-10-2016 15:56
BHMBCCMKT01,577,226,25-10-2016 16:29
BHMBCCMKT01,577,56,26-10-2016 07:59
BHMBCCMKT01,577,63,26-10-2016 08:32
BHMBCCMKT01,577,70,26-10-2016 08:59
BHMBCCMKT01,577,87,26-10-2016 09:26
BHMBCCMKT01,577,108,26-10-2016 09:59
BHMBCCMKT01,577,125,26-10-2016 10:26
BHMBCCMKT01,577,159,26-10-2016 10:59
BHMBCCMKT01,577,182,26-10-2016 11:26
BHMBCCMKT01,577,198,26-10-2016 11:59
BHMBCCMKT01,577,205,26-10-2016 12:26
BHMBCCMKT01,577,231,26-10-2016 12:59
BHMBCCMKT01,577,244,26-10-2016 13:26
BHMBCCMKT01,577,260,26-10-2016 13:59
BHMBCCMKT01,577,267,26-10-2016 14:26
BHMBCCMKT01,577,252,26-10-2016 14:59
BHMBCCMKT01,577,238,26-10-2016 15:26
BHMBCCMKT01,577,212,26-10-2016 15:59
BHMBCCMKT01,577,180,26-10-2016 16:32
BHMBCCMKT01,577,54,27-10-2016 07:59
BHMBCCMKT01,577,60,27-10-2016 08:32
BHMBCCMKT01,577,69,27-10-2016 08:59
BHMBCCMKT01,577,90,27-10-2016 09:32
BHMBCCMKT01,577,102,27-10-2016 09:59
BHMBCCMKT01,577,117,27-10-2016 10:25
BHMBCCMKT01,577,160,27-10-2016 10:59
BHMBCCMKT01,577,189,27-10-2016 11:32
BHMBCCMKT01,577,207,27-10-2016 11:59
BHMBCCMKT01,577,222,27-10-2016 12:26
BHMBCCMKT01,577,247,27-10-2016 12:59
BHMBCCMKT01,577,271,27-10-2016 13:32
BHMBCCMKT01,577,279,27-10-2016 13:59
BHMBCCMKT01,577,280,27-10-2016 14:26
BHMBCCMKT01,577,266,27-10-2016 14:59
BHMBCCMKT01,577,263,27-10-2016 15:26
BHMBCCMKT01,577,241,27-10-2016 15:59
BHMBCCMKT01,577,225,27-10-2016 16:26
BHMBCCMKT01,577,57,28-10-2016 08:16
BHMBCCMKT01,577,57,28-10-2016 08:16
BHMBCCMKT01,577,69,28-10-2016 08:56
